program_id,program_name,program_name_ur,category,scope,province,implementing_agency,target_beneficiary,min_age,max_age,education_level,student_status_required,max_monthly_income_pkr,special_criteria,benefits_coverage,required_documents,application_steps,official_url,helpline
NAT-FIN-04,Pakistan Bait-ul-Mal Individual Financial Assistance (IFA General),پاکستان بیت المال انفرادی مالی امداد (عام),Financial Assistance,Pakistan-Wide,All Pakistan,Pakistan Bait-ul-Mal (PBM),"Destitute individuals, widows, orphans, disabled persons, and poverty-stricken citizens facing urgent hardship",18,75,Any / None,No,74000,"Total monthly family income must not exceed PKR 74,000; applicant must not have availed similar assistance from PBM in same fiscal year","One-time or emergency rehabilitation grant up to PKR 60,000 per family for basic sustenance, sewing machines, or toolkits",Application written on plain paper addressed to MD PBM; Valid copy of applicant CNIC; Family CNICs/B-Forms; Attested income certificate; Affidavit,Submit application dossier to local District Bait-ul-Mal Office or apply online through pbm.gov.pk.,https://www.pbm.gov.pk/Project-IFA.html,0800-66666
NAT-FIN-05,Pakistan Bait-ul-Mal IFA - Education Stipends,پاکستان بیت المال تعلیمی وظائف,Financial Assistance / Education,Pakistan-Wide,All Pakistan,Pakistan Bait-ul-Mal (PBM),Needy and non-affording regular students studying in government institutions and universities,16,30,Intermediate / Undergraduate / Master,Yes,74000,"Enrolled in public sector college/university; passing grades; family monthly income <= PKR 74,000; first-come, first-served",Annual educational fee payment made directly to the university/college accounting head,PBM Bonafide certificate filled by college/university head; Applicant CNIC; Father CNIC; Fee structure challan; Income affidavit,Submit PBM educational application endorsed by the university head/focal person to the nearest PBM regional office.,https://www.pbm.gov.pk/Project-Scholarships.html,0800-66666
NAT-FIN-06,Pakistan Bait-ul-Mal IFA - Persons with Disabilities (Rehabilitation),پاکستان بیت المال بحالی برائے معذور افراد,Financial Assistance / Disability Support,Pakistan-Wide,All Pakistan,Pakistan Bait-ul-Mal (PBM),"Persons with physical disabilities, hearing impairment, visual impairment, or mobility restrictions",5,75,Any / None,No,74000,"Special disability CNIC (wheelchair logo) or disability assessment board certificate; family income <= PKR 74,000","Free motorized/manual wheelchairs, customized hearing aids, white canes, artificial limbs, and tri-cycles",Disability certificate issued by National/Provincial Council for Rehabilitation of Disabled Persons (N/PCRDP); CNIC copy; Photographs,Submit request at District PBM Office with disability medical board certificate.,https://www.pbm.gov.pk/Project-IFA.html,0800-66666
NAT-FIN-07,Workers Welfare Fund (WWF) Marriage Grant,ورکرز ویلفیئر فنڈ میرج گرانٹ,Financial Assistance,Pakistan-Wide,All Pakistan,Workers Welfare Fund (WWF),Registered industrial workers for the marriage of their daughters (or female workers themselves),18,60,Any / None,No,50000,Worker registered with EOBI or Social Security with minimum 3 years employment in an industrial establishment,"One-time cash financial grant of PKR 400,000 per daughter's wedding (up to multiple daughters)",Worker EOBI/Social Security card; Factory registration certificate; Nikahnama (marriage contract); NADRA CNIC of bride & groom; Attestation by employer,Submit application through factory employer to Provincial Workers Welfare Board.,https://wwf.gov.pk/,051-9258280
NAT-FIN-08,Workers Welfare Fund (WWF) Death Grant,ورکرز ویلفیئر فنڈ ڈیتھ گرانٹ,Financial Assistance,Pakistan-Wide,All Pakistan,Workers Welfare Fund (WWF),Legal heirs and surviving families of deceased industrial workers,18,70,Any / None,No,Not income-tested,Deceased was a registered worker with at least 6 months insurable service; natural or accidental death,"Lump-sum financial grant of PKR 800,000 paid to surviving legal heirs / widow",Death certificate from NADRA; Union Council burial certificate; EOBI card of deceased; Legal heir certificate; Widow CNIC,Submit claim dossier through employer to the respective Provincial Workers Welfare Board office.,https://wwf.gov.pk/,051-9258280
NAT-FIN-09,Employees' Old-Age Benefits Institution (EOBI) Old-Age Pension,ای او بی آئی بڑھاپا پنشن,Financial Assistance / Pension,Pakistan-Wide,All Pakistan,Employees' Old-Age Benefits Institution (EOBI),Retired insured employees from private sector commercial and industrial establishments,60,100,Any / None,No,Not income-tested,Attained age 60 (male) or 55 (female/mine worker); minimum 15 years insurable paid employment contributions,"Lifetime monthly pension of PKR 10,000 - 15,000+ disbursed via Bank of Punjab / Allied Bank EOBI wallet",EOBI Registration Card (PI-02); Original CNIC; Proof of employment & contributions (Form PR-03); Bank account details,Submit Claim Form (PI-03) at nearest EOBI Regional Office upon attaining retirement age.,https://www.eobi.gov.pk/,0800-36241
NAT-FIN-10,Employees' Old-Age Benefits Institution (EOBI) Survivor's Pension,ای او بی آئی بیوہ / پسماندگان پنشن,Financial Assistance / Pension,Pakistan-Wide,All Pakistan,Employees' Old-Age Benefits Institution (EOBI),"Surviving widows, minor orphans, and dependent parents of deceased insured employees or pensioners",18,100,Any / None,No,Not income-tested,Deceased worker possessed minimum 36 months insurable service or was an active EOBI pensioner,Lifetime monthly pension equal to 100% of the deceased insured person's full pension rate,NADRA Death certificate; Deceased EOBI card; Widow's CNIC; Nikahnama; Family Registration Certificate (FRC),Submit Survivor Claim Form (PI-04) at the EOBI Regional Office handling the deceased worker's file.,https://www.eobi.gov.pk/,0800-36241
NAT-FIN-11,Prime Minister's Youth Business & Agriculture Loan Scheme (PMYB&ALS),وزیراعظم یوتھ بزنس و زرعی قرضہ اسکیم,Financial Assistance / Business Loan,Pakistan-Wide,All Pakistan,Prime Minister's Youth Programme (PMYP) in collaboration with SBP & Commercial Banks,"Aspiring young entrepreneurs, startups, small business owners, and youth farmers",21,45,Matric / Intermediate / Graduate / Any,No,Not income-tested,"Pakistani citizen; viable business proposal; clean credit record (e-CIB). Tier-1 loans up to PKR 500,000 are interest-free (0% markup)","Subsidized loans: Tier 1 (up to PKR 500k at 0%), Tier 2 (PKR 500k-1.5M at 5%), Tier 3 (PKR 1.5M-7.5M at 7%)",Valid CNIC; Business plan / feasibility summary; Proof of educational/technical qualification; Utility bill; Personal guarantor (for T2/T3),Submit online application exclusively through the official PMYP portal (pmyp.gov.pk).,https://pmyp.gov.pk/,051-9103567
NAT-FIN-12,OPF Financial Assistance for Deceased Overseas Pakistanis,اوورسیز پاکستانیز فاؤنڈیشن مالی امداد برائے متوفی اوورسیز ملازمین,Financial Assistance,Pakistan-Wide,All Pakistan,Overseas Pakistanis Foundation (OPF),Destitute dependents and legal heirs of registered overseas Pakistani workers who pass away abroad,18,80,Any / None,No,Not income-tested,Deceased worker registered with Protector of Emigrants; death occurred abroad during active legal work contract,"One-time financial assistance grant of PKR 400,000 to family + free dead-body transportation service from airport",Death Certificate from foreign hospital/embassy; Passport showing Protector Stamp; Heirship certificate; Widow/Heir CNIC,"Submit formal request at OPF Head Office in Islamabad or regional offices in Lahore, Karachi, Peshawar, Quetta, Mirpur.",https://www.opf.org.pk/welfare/financial-aid/,051-9203232
NAT-HLT-01,Qaumi Sehat Sahulat Program / Sehat Sahulat Program,قومی صحت سہولت پروگرام,Health Support,Pakistan-Wide,"ICT Islamabad, AJK, Gilgit-Baltistan, designated federal zones","Ministry of National Health Services, Regulations & Coordination & State Life",All permanent resident families in designated zones and NSER low-income registered households,0,100,Any / None,No,35000,Valid CNIC registered in NADRA family tree (FRC); designated territorial residency or NSER health poverty score,"Cashless indoor hospitalization up to PKR 1,000,000 per family/year covering secondary care and priority tertiary diseases (cardiovascular, oncology, dialysis, surgical procedures, ICU)",Original NADRA CNIC of patient / family head; NADRA B-Form for minors; Family Registration Certificate (FRC); Hospital admission referral slip,Check eligibility by sending 13-digit CNIC to 8500 SMS or online at pmhealthprogram.gov.pk. Present CNIC directly at Sehat Sahulat counter in empanelled hospital.,https://www.pmhealthprogram.gov.pk/,0800-09009
NAT-HLT-02,Pakistan Bait-ul-Mal IFA - Medical Treatment Grant,پاکستان بیت المال علاج معالجہ مالی امداد,Health Support,Pakistan-Wide,All Pakistan,Pakistan Bait-ul-Mal (PBM),"Impoverished patients suffering from life-threatening critical illnesses (Cancer, Cardiac, Dialysis, Organ Surgeries)",0,100,Any / None,No,74000,"Admitted in an empanelled public sector tertiary hospital; monthly household income <= PKR 74,000","Financial coverage up to PKR 1,500,000 paid directly to the treating public hospital for surgeries/medicines (up to PKR 2.15M for cochlear implants)",Medical requisition estimate from treating hospital specialist; Original diagnostic reports; Patient CNIC/B-Form; Family CNICs; Attested income certificate,Submit medical dossier endorsed by Medical Superintendent (MS) of treating hospital to local District PBM Office.,https://www.pbm.gov.pk/Project-IFA.html,0800-66666
PB-SCH-01,Chief Minister Punjab Honhaar Undergraduate Scholarship Program,وزیراعلیٰ پنجاب ہونہار انڈرگریجویٹ اسکالرشپ پروگرام,Scholarship,Province-Wise,Punjab,Higher Education Department (HED) Punjab / Punjab Higher Education Commission,"Meritorious students admitted into 4-5 year BS, MBBS, and BDS programs across 68 priority disciplines",17,22,"Undergraduate (BS, MBBS, BDS)",Yes,300000,"Punjab domicile holder; minimum 60% in Intermediate/HSSC; family monthly income <= PKR 300,000; enrolled in approved public or designated top private universities",100% full tuition fee coverage directly paid to university for the complete degree duration (4 to 5 years),Applicant's CNIC / B-Form; Father / Guardian's CNIC; Punjab Domicile Certificate; Intermediate Mark Sheet; University admission offer letter; Income affidavit on stamp paper,Apply online via official portal: honhaarscholarship.punjabhec.gov.pk during annual admission cycle.,https://honhaarscholarship.punjabhec.gov.pk/,042-99230001
PB-SCH-02,Punjab Educational Endowment Fund (PEEF) Undergraduate Scholarship,پنجاب ایجوکیشنل اینڈومنٹ فنڈ (پیف) انڈرگریجویٹ اسکالرشپ,Scholarship,Province-Wise,Punjab,"The Punjab Educational Endowment Fund (PEEF), Govt of Punjab",Deserving and talented students from Punjab who completed Intermediate and enrolled in higher education,16,25,Undergraduate (Bachelor / BS),Yes,60000,"Minimum 60% marks in Intermediate examination from Punjab BISE; monthly family income <= PKR 60,000 (BPS 1-4 govt employees exempt)","Full tuition fees + monthly stipend (day-scholar PKR 3,000/mo, boarder PKR 5,000/mo) throughout academic program",PEEF Scholarship Form; Applicant CNIC / B-Form; Father/Guardian CNIC; Domicile certificate; Intermediate result card; Semester fee challan; Salary slip/affidavit,Submit application online on PEEF Student Portal (student.peef.org.pk) or through University Financial Aid Office.,https://student.peef.org.pk/,042-111-117-333
PB-SCH-03,"PEEF Special Quota Scholarship (Orphans, Minorities, Disabled, BPS 1-4)",پیف خصوصی کوٹہ اسکالرشپ,Scholarship,Province-Wise,Punjab,Punjab Educational Endowment Fund (PEEF),"Vulnerable category students: Orphan children, Religious minorities, Persons with Disabilities, Children of Grade 1-4 Govt employees",15,25,Intermediate / Undergraduate,Yes,60000,"Passed Matric or Inter with >=60% from Punjab BISE; relevant quota certification (Death cert of father, disability cert, minority NADRA proof, BPS 1-4 pay slip)",Complete institutional tuition fee + monthly pocket stipend,Special Quota application form; Disability certificate or Death certificate of father; Pay slip of parent (for BPS 1-4); Domicile; Result card,Apply directly online via PEEF Special Quota registration page (student.peef.org.pk/specialquotaRegistration).,https://student.peef.org.pk/,042-111-117-333
PB-SCH-04,PEEF Master's Level Scholarship,پیف ماسٹرز لیول اسکالرشپ,Scholarship,Province-Wise,Punjab,Punjab Educational Endowment Fund (PEEF),"High-achieving students admitted in Master's degree (MA, MSc, MS) in partner public universities in Punjab",20,30,Postgraduate / Master,Yes,60000,Minimum 60% marks or 2.5 CGPA in Graduation examination held in last 3 years; Punjab domicile; admitted on merit in morning session,"100% tuition fees + monthly stipend (PKR 3,000/month day scholar, PKR 5,000/month boarder)",Graduation degree & marksheet; Admission proof in partner university; Domicile; Income certificate / salary slip; CNIC,Apply directly through the Financial Aid Office / Focal Person of the participating public university.,https://student.peef.org.pk/,042-111-117-333
PB-SCH-05,TEVTA Punjab Free Technical Training Courses,ٹیوٹا پنجاب مفت تکنیکی تربیتی کورسز,Vocational / Skills Training,Province-Wise,Punjab,Technical Education and Vocational Training Authority (TEVTA) Punjab,"Youth seeking technical skills in trades, computer applications, industrial arts, automotive, and emerging technologies",16,35,Middle / Matric / Intermediate / Any,No,Not income-tested,Resident of Punjab; minimum education criteria varies by course (Middle to Matric/Inter),Free training + free course material/tool usage + TEVTA certification recognized domestically and in Gulf countries + monthly stipend in selected courses,Copy of CNIC or B-Form; Educational certificates (Matric/Middle); Two passport size photographs,Apply online at tevta.gop.pk or visit local TEVTA college / vocational training institute.,https://www.tevta.gop.pk/,042-99205461
PB-SCH-06,Punjab Skills Development Fund (PSDF) Free Skills Training,پنجاب اسکلز ڈیولپمنٹ فنڈ (پی ایس ڈی ایف) مفت ہنر پروگرام,Vocational / Skills Training,Province-Wise,Punjab,Punjab Skills Development Fund (PSDF),"Underprivileged youth in Punjab seeking high-demand skills in IT, digital freelancing, garments, agriculture, and services",18,35,Matric / Intermediate / Graduate,No,Not income-tested,Permanent domicile of Punjab; priority to poor and marginalized districts,"100% free tuition + subsidized transport stipend (approx PKR 1,500 - 3,000/mo) + accredited certification + job placement support",Valid CNIC; Educational transcripts; Proof of residence in Punjab,Enroll online through PSDF website (psdf.org.pk) during course admission rounds.,https://www.psdf.org.pk/,0800-48627
PB-FIN-01,Punjab Social Protection Authority (PSPA) Ba-Himmat Buzurg Program,پنجاب باہمت بزرگ پروگرام,Financial Assistance / Senior Citizen Welfare,Province-Wise,Punjab,"Punjab Social Protection Authority (PSPA), Govt of Punjab",Vulnerable senior citizens (aged 65+) in Punjab residing in households not covered by BISP,65,100,Any / None,No,25000,Age 65+ confirmed via NADRA CNIC; resident of Punjab; NSER poverty score <= 30; preference given to elderly women; exclusive to households not enrolled in BISP Kafaalat,"Monthly cash pension of PKR 2,000 disbursed via Bank of Punjab biometric branchless banking card/ATM",Original NADRA CNIC showing verified date of birth (65+); Proof of Punjab domicile / permanent residential address; Active personal mobile SIM card,Beneficiaries identified automatically through NSER database. Inquiries and biometric onboarding available at Bank of Punjab or PSPA facilitation desks.,https://pspa.punjab.gov.pk/,1221
PB-FIN-02,PSPA Humqadam Program for Persons with Disabilities,ہم قدم پروگرام برائے معذور افراد پنجاب,Financial Assistance / Disability Support,Province-Wise,Punjab,Punjab Social Protection Authority (PSPA),Persons with severe disabilities holding special NADRA CNIC living in low-income families,0,65,Any / None,No,25000,Possession of Special CNIC or B-Form with disability logo issued by NADRA; NSER PMT score <= 30,"Monthly unconditional cash assistance of PKR 2,000 disbursed through Bank of Punjab biometric accounts",Special CNIC/B-Form with disability symbol; Disability certificate from District Assessment Board; Punjab residential proof,"Get evaluated by District Assessment Board for disability, obtain special CNIC from NADRA, verify enrollment at PSPA / BoP branch.",https://pspa.punjab.gov.pk/,1221
PB-FIN-03,Punjab Himmat Card Scheme (Social Welfare Department),پنجاب ہمت کارڈ اسکیم,Financial Assistance / Disability Support,Province-Wise,Punjab,"Social Welfare & Bait-ul-Maal Department, Government of the Punjab",Certified Persons with Disabilities (PWDs) who are not fit to work and lack financial support,18,65,Any / None,No,35000,Registered as disabled in Disability Persons Management Information System (DPMIS); Punjab domicile; not employed in govt/private firm,"Quarterly stipend of PKR 10,500 disbursed via designated Bank of Punjab Himmat ATM Card + provision of assistive devices",Special CNIC with wheelchair insignia; DPMIS registration number; Punjab domicile certificate; Medical board assessment certificate,Register on the Punjab DPMIS portal (dpmis.punjab.gov.pk) and collect card from designated Bank of Punjab branches.,https://swd.punjab.gov.pk/,1312
PB-FIN-04,PSPA Nayee Zindagi Program (Acid Burn Victims Rehabilitation),نئی زندگی پروگرام برائے متاثرین تیزاب گردی,Financial Assistance / Medical & Legal Aid,Province-Wise,Punjab,Punjab Social Protection Authority (PSPA),Victims of acid burn attacks residing in Punjab,0,70,Any / None,No,Not income-tested,Victim of acid crime in Punjab; FIR / Medico-legal report (MLC) verified by police and health department,Free medical and reconstructive surgery + psychological counseling + legal aid + monthly subsistence stipend + vocational training,Copy of FIR; Medico-Legal Certificate (MLC); Patient CNIC/B-Form; Hospital medical records,"Contact PSPA Helpdesk 1221 or visit PSPA counter at major tertiary burn units in Lahore, Multan, or Faisalabad.",https://pspa.punjab.gov.pk/,1221
PB-FIN-05,Chief Minister Punjab Kissan Card Scheme,وزیراعلیٰ پنجاب کسان کارڈ اسکیم,Agricultural Subsidy / Financial Assistance,Province-Wise,Punjab,Agriculture Department Punjab in collaboration with Bank of Punjab,Small and medium agricultural farmers cultivating land up to 12.5 acres in Punjab,18,70,Any / None,No,Not income-tested,Land ownership verified through Punjab Land Records Authority (PLRA); clean credit history; registered SIM on CNIC,"Interest-free agricultural loans up to PKR 150,000 per crop season for subsidized fertilizer, seeds, and agrochemicals via digital wallet",Valid CNIC; PLRA land ownership fard/khatuni; Biometric SIM card; Mobile phone,Send CNIC to 8070 via SMS or apply at nearest Punjab Land Record Center (Arazi Record Center) or BoP branch.,https://agripunjab.gov.pk/,0800-17000
PB-FIN-06,Chief Minister Punjab Green Tractor Scheme,وزیراعلیٰ پنجاب گرین ٹریکٹر اسکیم,Agricultural Subsidy,Province-Wise,Punjab,"Agriculture Department, Government of Punjab",Farmers owning between 1 to 50 acres of agricultural land in Punjab,18,70,Any / None,No,Not income-tested,Permanent resident of Punjab; verified agricultural land ownership; selection via transparent electronic balloting,"Government subsidy of PKR 1,000,000 (10 Lakh) per tractor on purchase of approved local tractors",Valid CNIC; Land ownership certificate verified by PLRA; Affidavit agreeing not to sell tractor for 3 years,Submit online application through official Punjab Agriculture portal (agripunjab.gov.pk) during balloting registration window.,https://agripunjab.gov.pk/,0800-17000
PB-FIN-07,Punjab Bait-ul-Mal Guzara Allowance,پنجاب بیت المال گزارہ الاؤنس,Financial Assistance,Province-Wise,Punjab,"Social Welfare & Bait-ul-Maal Department, Government of Punjab","Needy widows, disabled persons, and indigent citizens residing permanently in Punjab",18,80,Any / None,No,25000,Must be certified as Mustahiq (deserving) by the District Bait-ul-Mal Committee; not in receipt of other pensions,"Financial grant of PKR 1,500 to PKR 2,000 per month disbursed through local post offices or bank accounts",Application form; Copy of CNIC; Death certificate of husband (for widows); Disability certificate (if applicable); Two references,Apply through District Officer Social Welfare / District Bait-ul-Mal Committee in respective district.,https://swd.punjab.gov.pk/,1312
